archetype_value,year,share_01_food_non_alcoholic,share_02_alcohol_tobacco,share_03_clothing_footwear,share_04_actual_rent,share_04_energy_other,share_05_furnishings,share_06_health,share_07_transport,share_08_communication,share_09_recreation_culture,share_10_education,share_11_restaurants_hotels,share_12_misc_goods_services,archetype_name,inflation_rate
social_rent,2019,0.1837804553743616,0.03640645836490121,0.035938491024572326,0.18382804385828624,0.1370327395880497,0.05402332947642384,0.009820892374526158,0.08940884790603125,0.05773894629758965,0.08997106865074365,0.0012329063893900861,0.06412969175465257,0.05668812894047104,tenure_type,1.6711552809641637
social_rent,2020,0.20150552704089714,0.04302067515355235,0.027167124509987484,0.2092944971517656,0.13180880324271424,0.062045286386096875,0.007126422803649394,0.08225783710045184,0.0645852212171479,0.0808026000892182,0.002019548373482002,0.02633799680189782,0.06202846012913873,tenure_type,0.9503825250660312
social_rent,2021,0.17895011907444575,0.03405343184581112,0.03218162645922846,0.2089616267519278,0.14249485593888583,0.06279064688277951,0.010224284562390254,0.08590282981440403,0.06221376954502699,0.083013385358577,0.0035457893621209137,0.037808729256601385,0.05785890514780073,tenure_type,3.0887951529041224
social_rent,2022,0.17877629803873615,0.02747596062206578,0.02876236265112176,0.20693988261540752,0.16042652934806395,0.05398419645632026,0.010570557720209596,0.09141435317325507,0.0615041182357779,0.08059673033004065,0.0006350901186685106,0.03902871370079782,0.05988520698953452,tenure_type,8.3103560394437
social_rent,2023,0.1820260831335335,0.02728376532550406,0.027448460189663126,0.21305693094340508,0.1767592246164628,0.05250126316089674,0.009510583789690115,0.08054600413655849,0.060917158346067035,0.07531175199847435,0.0010178504231293905,0.04037873337951665,0.05324219055709829,tenure_type,6.242439881526034
unknown,2016,0.1715623454288886,0.030333353950836774,0.03900958297656595,0.0,0.1289805570845616,0.06511986989177311,0.028741867295559446,0.15309017309167397,0.03866715889130674,0.12812589167527302,0.016266127859028454,0.10540487798674628,0.09469819386778537,tenure_type,1.0052970934525922
unknown,2017,0.20183075056690888,0.026803050897425146,0.03490932241339667,0.0,0.12240236612554513,0.11118887714078421,0.01337437368606064,0.11622175736918897,0.0469992818302393,0.13867057808976038,0.0,0.07834278667577198,0.1092568552049184,tenure_type,2.8080757543693324
unknown,2018,0.14398518602659804,0.0405950441397946,0.0721944095079086,0.0,0.13460832526112973,0.05251863224860959,0.008599243370815586,0.09614754162625258,0.06602713372052181,0.131886202494665,0.0007003514711410486,0.12194254743076069,0.13079538270180235,tenure_type,2.0263257696501147
unknown,2019,0.19762721492714166,0.025679922616688583,0.03877667976344613,0.0,0.11501861715719575,0.03397716009156551,0.026188805521120937,0.18145420654576183,0.05467763657578322,0.10852458178225609,0.026751190160285425,0.10699300705441622,0.08433097780433808,tenure_type,1.8115813583216924
unknown,2020,0.24537761768150912,0.015724283959547454,0.04352142980866158,0.0,0.17173057774228825,0.046113714085078146,0.012448149714479243,0.10752407487280076,0.07575039434986496,0.10818731978227607,0.02860394011920266,0.04779977451995096,0.09721872336434059,tenure_type,0.8362369811205509
unknown,2021,0.17739704375031787,0.018276024145877562,0.0806038469918349,0.0,0.1511446668767102,0.031578165939391174,0.033351436124647825,0.12413980341861793,0.05979693124529533,0.08098572486924281,0.01722389034483318,0.1135277356361968,0.11197473065703421,tenure_type,3.3847594980023796
unknown,2022,0.16833147562071565,0.018365163695252665,0.021654516648659604,0.0,0.1910083508108921,0.05763041769289392,0.0366227369066145,0.1838998675040474,0.0589532685297058,0.11620155780639747,0.005633797776070814,0.06365359754058525,0.0780452494681644,tenure_type,8.988986137839124
unknown,2023,0.18809765809166104,0.028709691484708907,0.022503222565427472,0.0,0.20423447038458598,0.0632568051584432,0.014573479985381265,0.11320772816310203,0.05727375752343637,0.1165473454616866,0.019288780855530277,0.09934629507811843,0.07296076524791806,tenure_type,5.487722411237233
